Word,Pinyin,Meaning,Level,Lecture
一 斤,yijin,One pound,1,1
昨天,zuotian,yesterday,1,1
星期五,xingqi wu,Friday,1,1
身体,shenti,Body,1,1
一周,yi zhou,a week,1,1
北京,beijing,Beijing,1,1
馒头 ,mantou,Steamed bun ,1,1
九,jiu,Nine,1,1
这人,zher,This person,1,1
名字,mingzi,name,1,1
那,na,That,1,1
学习,xuexi,study,1,1
三,san,three,1,1
老板,laoban,boss,1,1
周,zhou,week,1,1
文,wen,arts,1,1
茶,cha,Tea,1,1
请进,qingjin,Please come in,1,1
怎么,zenme,how,1,1
肉,rou,Meat,1,1
二,er,two,1,1
我,wo,I,1,1
四,si,Four,1,1
桃,tao,Peach,1,1
日语,riyu,Japanese,1,1
哥哥,gege,elder brother,1,1
少,shao,few,1,1
小姐姐,xiao jiejie,young lady,1,1
角,jiao,horn,1,1
要,yao,want,1,1
朋友,pengyou,friend,1,1
不用谢,bu yong xie,You're welcome,1,1
喝,he,drink,1,1
买,mai,purchase,1,1
学,xue,study,1,1
西班牙语,xibanyayu,spanish,1,1
食堂,shitang,canteen,1,1
五,wu,five,1,1
想,xiang,think,1,2
汉字,hanzi,Chinese character,1,2
您,nin,you,1,2
了,le,Got it,1,2
一个星期,yi ge xingqi,a week,1,2
哪儿,nar,where,1,2
苹果,pingguo,apple,1,2
天,tian,sky,1,2
六,liu,six,1,2
星期二,xingqier,Tuesday,1,2
谢谢,xiexie,Thanks,1,2
不,bu,No,1,2
学期,xueqi,semester,1,2
毛,mao,hair,1,2
些,xie,some,1,2
白,bai,white,1,2
弟弟,didi,younger brother,1,2
取,qu,Pick,1,2
和,he,and,1,2
别的,biede,Others,1,2
奶奶,nainai,grandmother,1,2
天安门,tiananmen,Tiananmen Square,1,2
琬,wan,Wan,1,2
法语,fayu,French,1,2
鸡,ji,chicken,1,2
今天,jintian,today,1,2
家里,jiali,at home,1,2
蛋,dan,Egg,1,2
牛,niu,ox,1,2
星期天,xingqitian,Sunday,1,2
信,xin,letter,1,2
香蕉,xiangjiao,banana,1,2
一共,yigong,total,1,2
男,,male,1,2
元,yuan,Yuan,1,2
阿拉伯语,alabuoyu,Arabic,1,2
什么,shenme,What,1,2
给,gei,Give,1,2
马·,ma,horse·,1,2
爱,ai,like,1,2
美女,meinu,Beauty,1,2
医生,yisheng,doctor,1,2
韩国语,hanguoyu,Korean,1,2
那,na,That,1,2
草莓,caomei,strawberry,1,2
家,jia,Home,1,2
星期日,xingqiri,Sunday,1,2
卖,mai,Sell,1,2
银行,yinhang,bank,1,2
贵,gui,expensive,1,2
包子,baozi,steamed stuffed bun,1,2
早上,zaoshang,Morning,1,2
便宜,pianyi,Cheap,1,2
口,kou,mouth,1,2
你,ni,you,1,2
请,qing,please,1,2
请问,qingwen,Excuse me,1,2
那儿,nar,there,1,2
是,shi,yes,1,2
忙,mang,busy,1,2
谁,shei,who,1,2
吗,ma,?,1,2
梨,li,pear,1,2
不客气,bukeqi,You're welcome,1,2
多,duo,many,1,2
小弟弟,xiao didi,little brother,1,2
星期六,xingqiliu,Saturday,1,2
星期三,xingqisan,Wednesday,1,2
难,,Disaster,1,2
回,hui,return,1,2
她,ta,she,1,2
杂志,zachi,Magazine,1,3
老爸,laoba,Dad,1,3
贵姓,guixing,your surname,1,3
进,jin,Enter,1,3
再见,zaijian,goodbye,1,3
老妈,laoma,Mom,1,3
找,zhao,try to find,1,3
德语,deyu,German,1,3
爷爷,yeye,grandfather,1,3
吃,chi,eat,1,3
晚上,wanshang,night,1,3
饺子,jiaozi,dumpling,1,3
对不起,duibuqi,sorry,1,3
老大,laoda,boss,1,3
妹妹,meimei,younger sister,1,3
俄语,eyu,Russian,1,3
汉语,hanyu,Chinese,1,3
啤酒,pijiu,beer,1,3
饭,fan,meal,1,3
猪,zhu,pig,1,3
钱,qian,money,1,3
见,jian,See,1,4
他,ta,he,1,4
老师,laoshi,teacher,1,4
块,kuai,piece,1,4
米饭,mifan,rice,1,4
月,yue,moon,1,4
去,qu,go,1,4
大哥,dage,Big brother,1,4
哪儿,nar,where,1,4
星期一,xingqiyi,Monday,1,4
下午,xiawu,afternoon,1,4
十,shi,ten,1,4
橘子,juzi,tangerine,1,4
明天,mingtian,tomorrow,1,4
妈妈,mama,Mother,1,4
两,liang,two,1,4
吧,ba,Bar,1,4
学生,xuesheng,student,1,4
周一,zhouyi,on Monday,1,4
葡萄,putao,Grape,1,4
面条,miantiao,Noodle,1,4
鸟,niao,bird,1,4
周日,zhouri,Sunday,1,4
对,dui,right,1,4
学校,xuexiao,School,1,4
那儿,nar,there,1,4
中午,zhongwu,noon,1,4
平安,pingan,Safety,1,4
邮局,youju,post office,1,4
没有,meiyou,No,1,4
上午,shangwu,morning,1,4
国,guo,country,1,4
没关系,meiguanxi,It doesn't matter,1,4
多少,duoshao,How many,1,4
小弟,xiaodi,little brother,1,4
坐,zuo,sit,1,4
英语,yingyu,English,1,4
星期四,xingqisi,Thursday,1,4
叫,jiao,Call,1,4
好,hao,good,1,4
汤,tang,Soup,1,4
狗,gou,dog,1,4
西瓜,xigua,watermelon,1,4
姐姐,jiejie,elder sister,1,4
发音,fayin,pronounce,1,4
小妹妹,xiaomeimei,little sister,1,4
大,da,big,1,4
星期,xingqi,Week,1,4
猫,mao,cat,1,4
很,hen,very,1,4
来,lai,Come,1,4
太,tai,too,1,4
八,ba,eight,1,5
小哥哥,xiaogege,little brother,1,5
工作,gongzuo,Work,1,5
水果,shuiguo,fruit,1,5
这,zhe,this,1,5
分,fen,minute,1,5
书,shu,Book,1,6
公斤,gongjin,Kilogram,1,6
还,hai,still,1,6
爸爸,baba,dad,1,6
越南,yuenan,Vietnam,1,6
认识,renshi,know,1,6
筷子,kuaizi,Chopsticks,1,6
们,men,them,1,6
一,yi,one,1,6
什么,shenme,What,1,7
七,qi,seven,1,7
鸭,ya,duck,1,7
寄,ji,send,1,7
图书馆,tushuguan,library,1,7
换,huan,Change,1,7
先生,xiansheng,gentlemen,1,7
营业员,yingyeyuan,salesperson,1,7
人民币,renminbi,RMB,1,7
千,qian,thousand,1,7
百,bai,Hundred,1,7
万,wan,Ten thousand,1,7
日元,riyuan,JPY,1,8
等,deng,wait,1,8
一会儿,yihuir,a while,1,8
数,shu,count,1,8
办公,bangong,office,1,8
室,shi,room,1,8
教室,jiaoshi,classroom,1,8
里,li,inside,1,8
桌子,zhuozi,table,1,9
椅子,yizi,Chair,1,9
电脑,diannao,computer,1,9
电话,dianhua,Telephone,1,9
职员,zhiyuan,staff,1,9
钱包,qianbao,wallet,1,9
在,zai,exist,1,9
住,zhu,live,1,9
呢,ne,"<use at the end of question, negative question>",1,10
楼,lou,building,1,10
层,ceng,layer,1,10
房间,fangjian,Room,1,10
房子,fangzi,house,1,10
号,hao,Number,1,10
留学生,liuxuesheng,International students,1,10
知道,zhidao,Know,1,10
打,da,beat,1,10
手机,shouji,cell phone,1,10
零,ling,zero,1,10
同学,tongxue,classmate,1,10
秘书,mishu,secretary,1,10
介绍,jieshao,introduce,1,10
一下儿,yixiar,for a while,1,10
位,wei,pplace,1,10
教授,jiaoshou,professor,1,11
校长,xiaozhang,headmaster,1,11
欢迎,huanying,welcome,1,11
也,ye,also,1,11
都,dou,All,1,11
俩,lia,both,1,11
没什么,meishenme,nothing,1,11
大夫,dafu,doctor,1,11
