id,vocab,vocab_pinyin,vocab_trans_vi,vocab_trans_en,example,example_pinyin,example_trans_vi,example_trans_en,level
1,爱,ài,yêu,Love,我爱你。,Wǒ ài nǐ.,Tôi yêu bạn.,I love you.,1
2,八,bā,tám,eight,他有八个苹果。,Tā yǒu bā ge píngguǒ.,Anh ấy có tám quả táo.,He has eight apples.,1
3,爸爸,bàba,bố,dad,我的爸爸很高。,Wǒ de bàba hěn gāo.,Bố của tôi rất cao.,My father is very tall.,1
4,杯子,bēizi,cốc,glass,这是我的杯子。,Zhè shì wǒ de bēizi.,Đây là cốc của tôi.,This is my cup.,1
5,北京,Běijīng,Bắc Kinh,Beijing,北京很大。,Běijīng hěn dà.,Bắc Kinh thì lớn.,Beijing is big.,1
6,本,běn,cuốn (dùng cho sách),book,这本书很有趣。,Zhè běn shū hěn yǒuqù.,Quyển sách này rất thú vị.,This book is very interesting.,1
7,不客气,bú kèqì,không có gì (đáp lại lời cảm ơn),nothing (in response to thanks),不客气。,bú kèqì.,Không có gì.,Nothing.,1
8,不,bù,không,Are not,他不喜欢吃鱼。,Tā bù xǐhuān chī yú.,Anh ấy không thích ăn cá.,He doesn't like eating fish.,1
9,菜,cài,"món ăn, rau củ","food, vegetables",我喜欢吃菜。,Wǒ xǐhuān chī cài.,Tôi thích ăn rau.,I like to eat vegetables.,1
10,茶,chá,trà,tea,我喝茶。,Wǒ hē chá.,Tôi uống trà.,I drink tea.,1
11,吃,chī,ăn,eat,我吃苹果。,Wǒ chī píngguǒ.,Tôi ăn táo.,I eat apples.,1
12,出租车,chūzūchē,taxi,Taxi,我坐出租车。,Wǒ zuò chūzūchē.,Tôi đi taxi.,I take a taxi.,1
13,打电话,dǎ diànhuà,gọi điện thoại,phone,她给我打电话。,Tā gěi wǒ dǎ diànhuà.,Cô ấy gọi điện cho tôi.,She called me.,1
14,大,dà,"lớn, to",big,这件衣服很大。,Zhè jiàn yīfú hěn dà.,Cái áo này rất to.,This shirt is very big.,1
15,的,de,của (thuộc tính),of (attribute),这是我的书。,Zhè shì wǒ de shū.,Đây là sách của tôi.,This is my book.,1
16,点,diǎn,giờ (trong thời gian),hour (in time),现在是三点。,Xiànzài shì sān diǎn?,Bây giờ là mấy giờ?,What time is it?,1
17,电脑,diànnǎo,máy tính,computer,我用电脑。,Wǒ yòng diànnǎo.,Tôi dùng máy tính.,I use computer.,1
18,电视,diànshì,ti vi,TV,电视很大。,Diànshì hěn dà.,Tivi thì lớn.,The TV is big.,1
19,电影,diànyǐng,phim,movie,我喜欢看电影。,Wǒ xǐhuān kàn diànyǐng.,Tôi thích xem phim.,I like watching movies.,1
20,东西,dōngxī,"đồ vật, thứ","object, thing",这是什么东西？,Zhè shì shénme dōngxī?,Đây là cái gì?,What is this?,1
21,都,dōu,đều,even,我们都去学校。,Wǒmen dōu qù xuéxiào.,Chúng tôi đều đi đến trường.,We all go to school.,1
22,读,dú,đọc,read,她读书很快。,Tā dúshū hěn kuài.,Cô ấy đọc sách rất nhanh.,She reads books very quickly.,1
23,对不起,duìbùqǐ,xin lỗi,Sorry,对不起，我迟到了。,"Duìbuqǐ, wǒ chídào le.","Xin lỗi, tôi đến muộn.","Sorry, I'm late.",1
24,多,duō,nhiều,much,我有很多书。,Wǒ yǒu hěn duō shū.,Tôi có nhiều sách.,I have many books.,1
25,多少,duōshǎo,bao nhiêu,how much,这本书多少钱？,Zhè běn shū duōshǎo qián?,Quyển sách này bao nhiêu tiền?,How much is this book?,1
26,儿子,érzi,con trai,Boy,我的儿子很聪明。,Wǒ de érzi hěn cōngmíng.,Con trai của tôi rất thông minh.,My son is very smart.,1
27,二,èr,hai,two,我喜欢“二”数字。,"Wǒ xǐhuān ""èr"" shùzi",Tôi thích số 2.,I like number 2.,1
28,饭馆,fànguǎn,nhà hàng,restaurant,我们去饭馆吃饭。,Wǒmen qù fànguǎn chīfàn.,Chúng tôi đi nhà hàng ăn cơm.,We go to restaurant to eat.,1
29,飞机,fēijī,máy bay,plane,飞机很快。,Fēijī hěn kuài.,Máy bay thì nhanh.,Planes are fast.,1
30,分钟,fēnzhōng,phút,minute,他等了五分钟。,Tā děngle wǔ fēnzhōng.,Anh ấy đợi năm phút.,He waited five minutes.,1
31,高兴,gāoxìng,vui,fun,我很高兴。,Wǒ hěn gāoxìng.,Tôi rất vui.,I'm very happy.,1
